Company_name,Company_size,Img_Url,Industry,Job_function,Job_type,Location,Salary,Title,apply_link
Centennial Homes,51 to 200 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/145501/centennial-homes-squarelogo-1429594663693.png",Real Estate,carpenter,Full-time,"Bismarck, ND",,Tape and Texture Finish Carpenter/Warranty Tech,Easy Apply
Enterprise Holdings,10000+ Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/354335/enterprise-holdings-squarelogo-1381172895997.png",Travel & Tourism,sales manager,Apprentice/Trainee,"Bismarck, ND",$39K - $96K ,Sales Management Trainee,https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_75289acf&cb=1612447541148&jobListingId=3784124899
Cassia,5001 to 10000 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/3334656/cassia-mn-squarelogo-1606941234779.png",Health Care,certified nursing assistant,Part-time,"Bismarck, ND",,"Certified Nursing Assistants (CNAs)- PT Day 1,500 Bonus",https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_544ca814&cb=1612447542389&jobListingId=3798993508
Enterprise Holdings,10000+ Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/354335/enterprise-holdings-squarelogo-1381172895997.png",Travel & Tourism,sales manager,Apprentice/Trainee,"Bismarck, ND",$39K - $96K ,Sales Management Trainee,https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_75289acf&cb=1612447543193&jobListingId=3784124899
Centennial Homes,51 to 200 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/145501/centennial-homes-squarelogo-1429594663693.png",Real Estate,carpenter,Full-time,"Bismarck, ND",,Tape and Texture Finish Carpenter/Warranty Tech,Easy Apply
Wendy's of Colorado Springs,N/A,/static/img/banners/default-ei-banner.jpg,N/A,district manager,Full-time,"Bismarck, ND",,District Manager,Easy Apply
Cassia,5001 to 10000 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/3334656/cassia-mn-squarelogo-1606941234779.png",Health Care,certified nursing assistant,Part-time,"Bismarck, ND",,"Certified Nursing Assistants (CNAs)- PT Day 1,500 Bonus",https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_544ca814&cb=1612447543970&jobListingId=3798993508
Centennial Homes,51 to 200 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/145501/centennial-homes-squarelogo-1429594663693.png",Real Estate,carpenter,Full-time,"Bismarck, ND",,Tape and Texture Finish Carpenter/Warranty Tech,Easy Apply
Wendy's of Colorado Springs,N/A,/static/img/banners/default-ei-banner.jpg,N/A,district manager,Full-time,"Bismarck, ND",,District Manager,Easy Apply
Cassia,5001 to 10000 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/3334656/cassia-mn-squarelogo-1606941234779.png",Health Care,certified nursing assistant,Part-time,"Bismarck, ND",,"Certified Nursing Assistants (CNAs)- PT Day 1,500 Bonus",https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_544ca814&cb=1612447547363&jobListingId=3798993508
Northland PACE,N/A,/static/img/banners/default-ei-banner.jpg,N/A,registered nurse case manager,Full-time,"Bismarck, ND",,"Clinic Case Manager - Nurse (RN) - Bismarck, ND",Easy Apply
Northland PACE,N/A,/static/img/banners/default-ei-banner.jpg,N/A,registered nurse case manager,Full-time,"Bismarck, ND",,"Clinic Case Manager - Nurse (RN) - Bismarck, ND",Easy Apply
Wendy's of Colorado Springs,N/A,/static/img/banners/default-ei-banner.jpg,N/A,district manager,Full-time,"Bismarck, ND",,District Manager,Easy Apply
Cassia,5001 to 10000 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/3334656/cassia-mn-squarelogo-1606941234779.png",Health Care,certified nursing assistant,Full-time,"Bismarck, ND",,"Certified Nursing Assistant (CNA)- FT Day, 3000 Bonus",https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1b0ecf83&cb=1612447549423&jobListingId=3798993474
Enterprise Holdings,10000+ Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/354335/enterprise-holdings-squarelogo-1381172895997.png",Travel & Tourism,sales manager,Apprentice/Trainee,"Bismarck, ND",$39K - $96K ,Sales Management Trainee,https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_75289acf&cb=1612447549565&jobListingId=3784124899
Northland PACE,N/A,/static/img/banners/default-ei-banner.jpg,N/A,registered nurse case manager,Full-time,"Bismarck, ND",,"Clinic Case Manager - Nurse (RN) - Bismarck, ND",Easy Apply
Confidential,N/A,/static/img/banners/default-ei-banner.jpg,N/A,sales manager,Full-time,"Bismarck, ND",,Director of Sales,Easy Apply
Cassia,5001 to 10000 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/3334656/cassia-mn-squarelogo-1606941234779.png",Health Care,certified nursing assistant,Full-time,"Bismarck, ND",,"Certified Nursing Assistant (CNA)- FT Day, 3000 Bonus",https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1b0ecf83&cb=1612447552833&jobListingId=3798993474
Confidential,N/A,/static/img/banners/default-ei-banner.jpg,N/A,sales manager,Full-time,"Bismarck, ND",,Director of Sales,Easy Apply
"Lighthouse Commodities, LLC",N/A,/static/img/banners/default-ei-banner.jpg,N/A,controller,Full-time,"Bismarck, ND",,Grain Controller,Easy Apply
Cassia,5001 to 10000 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/3334656/cassia-mn-squarelogo-1606941234779.png",Health Care,certified nursing assistant,Full-time,"Bismarck, ND",,"Certified Nursing Assistant (CNA)- FT Day, 3000 Bonus",https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1b0ecf83&cb=1612447554147&jobListingId=3798993474
Confidential,N/A,/static/img/banners/default-ei-banner.jpg,N/A,sales manager,Full-time,"Bismarck, ND",,Director of Sales,Easy Apply
"Lighthouse Commodities, LLC",N/A,/static/img/banners/default-ei-banner.jpg,N/A,controller,Full-time,"Bismarck, ND",,Grain Controller,Easy Apply
Cassia,5001 to 10000 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/3334656/cassia-mn-squarelogo-1606941234779.png",Health Care,medical assistant,Full-time,"Bismarck, ND",,"Certified Medication Assistant (CMA), FT Day",https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_db7dbb6b&cb=1612447558312&jobListingId=3807983610
"Lighthouse Commodities, LLC",N/A,/static/img/banners/default-ei-banner.jpg,N/A,controller,Full-time,"Bismarck, ND",,Grain Controller,Easy Apply
Talkspace,51 to 200 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png",Health Care,counselor,Full-time,"Bismarck, ND",$28K - $52K ,Counselor,https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_df4a78a6&cb=1612447561971&jobListingId=3771926113
Super Kids Jr Academy,N/A,/static/img/banners/default-ei-banner.jpg,N/A,other,Part-time,"Bismarck, ND",,Exciting opening for 3 Part Time Specialists to have fun with children!,Easy Apply
Super Kids Jr Academy,N/A,/static/img/banners/default-ei-banner.jpg,N/A,other,Part-time,"Bismarck, ND",,Exciting opening for 3 Part Time Specialists to have fun with children!,Easy Apply
